Acquisition,SemesterEffective,FormerUHCourseNumber,FormerUHCourseTitle,ReplacementUHCourseNumber,ReplacementUHCourseTitle,Reference
Manual,202103,FREN 2301,Intermediate French I,FREN 2311,Intermediate French I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,FREN 2302,Intermediate French II,FREN 2312,Intermediate French II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1130,Physical Geology Lab,GEOL 1103,Physical Geology Lab,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1150,Introductory Meteorology Laboratory,GEOL 1147,Introductory Meteorology Laboratory,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1176,Historical Geology Laboratory,GEOL 1104,Historical Geology (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1330,Physical Geology,GEOL 1303,Physical Geology (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1350,Introduction to Meteorology,GEOL 1347,Introduction to Meteorology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1360,Introduction to Oceanography,GEOL 1345,Introduction to Oceanography,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GEOL 1376,Historical Geology,GEOL 1304,Historical Geology (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GERM 2331,Intermediate German I,GERM 2311,Intermediate German I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,GERM 2332,Intermediate German II,GERM 2312,Intermediate German II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HDFS 2317,Introduction to Human Development and Interventions,HDFS 2314,Introduction to Human Development and Interventions (TCCNS PSYC 2314),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2301,Historians Craft,HIST 2303,Historians Craft,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2341,Texas to 1865,HIST 2301,Texas History to 1865,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2343,Texas Since 1865,HIST 2302,Texas since 1865,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2343,Texas History since 1865,HIST 2302,Texas since 1865,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2351,Western Civilization to 1450,HIST 2311,Western Civilization to 1450,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2353,Western Civilization since 1450,HIST 2312,Western Civilization from 1450,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2361,The Study of Early Civilizations,HIST 2321,The Study of Early Civilizations,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 2363,Modern Civilizations,HIST 2322,Modern Civilizations,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 3332,Chicano History to 1910,HIST 2327,Chicano History to 1910,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HIST 3333,Chicano History since 1910,HIST 2328,Chicano History since 1910,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,HLT 2310,Emergency Care & First Aid,PHED 1306,Emergency Care & First Aid,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ITAL 2301,Intermediate Italian Conversation I,ITAL 2311,Intermediate Italian I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,ITAL 2302,Intermediate Italian Conversation II,ITAL 2312,Intermediate Italian II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,JPNS 2301,Intermediate Japanese I,JAPN 2311,Intermediate Japanese I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,JPNS 2302,Intermediate Japanese II,JAPN 2312,Intermediate Japanese II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,LATN 2301,Intermediate Latin I,LATI 2311,Intermediate Latin I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,LATN 2302,Intermediate Latin II,LATI 2312,Intermediate Latin II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1310,College Algebra,MATH 1314,College Algebra,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1311,Elementary Mathematical Modeling,MATH 1332,Elementary Mathematical Modeling,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1312,Introduction to Mathematical Reasoning,MATH 1351,Introduction to Mathematical Reasoning,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1313,Finite Math with Applications,MATH 1324,Finite Math with Applications,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1314,Calculus for Business and the Life Sciences,MATH 1325,Calculus for Business & Social Sciences,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1330,Precalculus,MATH 2312,Precalculus,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1431,Calculus I,MATH 2413,Calculus I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 1432,Calculus II,MATH 2414,Calculus II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 2311,Introduction to Probability and Statistics,MATH 1342,Elementary Statistical Methods,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 2331,Linear Algebra,MATH 2318,Linear Algebra,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MATH 2433,Calculus III,MATH 2415,Calculus III,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1160,Group Piano I,MUSI 1181,Group Piano I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1161,Group Piano II,MUSI 1182,Group Piano II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1170,Aural Skills I,MUSI 1116,Aural Skills I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1171,Aural Skills II,MUSI 1117,Aural Skills II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1300,Fundamentals of Music,MUSI 1303,Fundamentals of Music,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1310,Theory I,MUSI 1311,Music Theory I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 1311,Theory II,MUSI 1312,Music Theory II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 2101,Vocal Diction,MUSI 1160,Italian and English Diction,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 2160,Group Piano III,MUSI 2181,Group Piano III,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 2161,Group Piano IV,MUSI 2182,Group Piano IV,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 2170,Aural Skills III,MUSI 2116,Aural Skills III,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 2171,Aural Skills IV,MUSI 2117,Aural Skills IV,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,MUSI 3300,Listening to Music Masterworks,MUSI 1307,Listening to Classical Music,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1101,General Physics Laboratory I,PHYS 1101,College Physics I (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1102,General Physics Laboratory II,PHYS 1102,College Physics II (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1121,University Physics Laboratory I,PHYS 2125,University Physics Laboratory I (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1122,University Physics Laboratory II,PHYS 2126,University Physics Laboratory II (lab),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1301,Introductory General Physics I,PHYS 1301,College Physics I (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1302,Introductory General Physics II,PHYS 1302,College Physics II (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1305,Introductory Astronomy-The Solar System,PHYS 1304,Solar System,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1306,Introductory Astronomy-Stellar and Galactic Systems,PHYS 1303,Stars and Galaxies,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1321,University Physics I,PHYS 2325,University Physics I (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PHYS 1322,University Physics II,PHYS 2326,University Physics II (lecture),https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,POLS 1336,US and Texas Constitution and Politics,GOVT 2306,US and Texas Constitution and Politics,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,POLS 1337,"US Government: Congress, President, & Courts",GOVT 2305,"US Government: Congress, President, & Courts",https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PSYC 1300,Introduction to Psychology,PSYC 2301,Introduction to Psychology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PSYC 2301,Introduction to Methods in Psychology,PSYC 2305,Introduction to Methods in Psychology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PSYC 2350,Child Development,PSYC 2308,Child Development,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PSYC 2351,Psychology of Adolescence,PSYC 2307,Psychology of Adolescence,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,PSYC 2380,Introduction to Social Psychology,PSYC 2319,Introduction to Social Psychology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,RUSS 2301,Second-Year Russian I,RUSS 2311,Intermediate Russian I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,RUSS 2302,Second-Year Russian II,RUSS 2312,Intermediate Russian II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,SOC 1300,Introduction to Sociology,SOCI 1301,Introduction to Sociology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,SPAN 2301,Intermediate Spanish I,SPAN 2311,Intermediate Spanish I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,SPAN 2302,Intermediate Spanish II,SPAN 2312,Intermediate Spanish II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,SPEC 3360,Individuals with Disabilities,EDUC 2301,Introduction to Special Populations,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 1329,Voice and Articulation for Non-Majors,DRAM 2336,Voice for Theatre,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 1331,Introduction to Theatre,DRAM 1310,Introduction to Theatre,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 1338,Acting I,DRAM 1351,Acting I,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 1339,Acting II,DRAM 1352,Acting II,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 2223,Makeup for Actors,DRAM 1341 ,Makeup for Actors ,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 2320,Acting III,DRAM 2351,Acting III,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 2335,Scenic Technology,DRAM 1330,Scenic Technology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
Manual,202103,THEA 2336,Lighting and Sound Technology,DRAM 2331,Lighting and Sound Technology,https://web.archive.org/web/20210415084338/https://uh.edu/academics/courses-enrollment/course-number-updates/index.php
